Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
Aruba,ABW,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,..
Aruba,ABW,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..
Aruba,ABW,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,..
Aruba,ABW,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,137.2876434
Aruba,ABW,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,..
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,30975.99891
Australia,AUS,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,62.538
Australia,AUS,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,3.672
Australia,AUS,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,38.41059603
Australia,AUS,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,130.5630798
Australia,AUS,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,128.2834167
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,65169.51911
Austria,AUT,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,56.552
Austria,AUT,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,4.798
Austria,AUT,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,40.98360656
Austria,AUT,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,100.4536285
Austria,AUT,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,106.6978836
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,52336.77252
Azerbaijan,AZE,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,61.9
Azerbaijan,AZE,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,6.54
Azerbaijan,AZE,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,18.33333333
Azerbaijan,AZE,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,88.78762019
Azerbaijan,AZE,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,44.86930997
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,7770.594223
"Bahamas, The",BHS,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,..
"Bahamas, The",BHS,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..
"Bahamas, The",BHS,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,17.94871795
"Bahamas, The",BHS,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,..
"Bahamas, The",BHS,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,..
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,34957.16133
Bahrain,BHR,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,..
Bahrain,BHR,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..
Bahrain,BHR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,20
Bahrain,BHR,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,106.4660089
Bahrain,BHR,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,73.60736539
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,30470.52193
Bangladesh,BGD,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,43.354
Bangladesh,BGD,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,4.894
Bangladesh,BGD,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,20.85714286
