Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Mongolia,MNG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,51.717,57.902,56.048,53.158,54.629,52.467
Mongolia,MNG,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,4.806,8.038,6.271,7.393,4.888,4.345
Mongolia,MNG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,17.1052631578947,17.3333333333333,17.3333333333333,17.1052631578947,17.1052631578947,17.1052631578947
Mongolia,MNG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,75.78,75.96,76.22,76.47,76.7,76.85
Mongolia,MNG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,30.995,29.724,26.135,22.428,20.539,19.739
Mongolia,MNG,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,45,45,47,63,41,41
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,8673.59128084795,8749.02375172644,7538.53635992191,9317.15520065156,10024.5435616209,12259.8775034436
Montenegro,MNE,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,91.4177093505859,92.1967697143555,92.7898330688477,93.8239974975586,93.450813293457,95.1452331542969
Montenegro,MNE,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,66.6246719360352,64.2352600097656,66.8359069824219,67.0347137451172,67.8495407104492,66.92431640625
Montenegro,MNE,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,45.52,46.888,43.343,41.433,48.489,51.777
Montenegro,MNE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,15.121,15.685,18.374,15.852,13.035,14.151
Montenegro,MNE,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,23.4567901234568,28.3950617283951,22.2222222222222,24.6913580246914,27.1604938271605,20.9876543209877
Montenegro,MNE,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,80.6,79.5,78.8,77,78.8,80.2
Montenegro,MNE,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,10.088,10.741,10.407,10.326,10.013,9.375
Montenegro,MNE,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,7,6,15,15,13,6
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3501.69799804688,3508.09765625,3268.0302734375,3785.93627929688,3463.1376953125,3813.72607421875
Morocco,MAR,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,75.2608385790025,76.5740050948519,78.1902667388164,79.2970919837523,83.2706329144956,87.2227171713839
Morocco,MAR,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,35.2085552985923,38.4051990422671,40.9987555033672,45.1439525155155,49.4333879081328,51.8200104174748
Morocco,MAR,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,22.23,21.999,20.688,20.697,19.584,19.671
