Country Name,Country Code,adolescent_fertility,gdp_per_capita,female_labor_force_participation,female_life_expectancy,maternal_mortality,women_in_parliament,female_secondary_enrollment,female_tertiary_enrollment,female_unemployment
Dominican Republic,DOM,52.774,10630.431743829,52.482,76.975,124.0,27.8947368421053,79.048372719494,77.1815521515176,8.442
Ecuador,ECU,55.531,6737.84748379638,52.521,80.139,55.0,43.0656934306569,94.1827583420861,76.0744634319622,4.349
"Egypt, Arab Rep.",EGY,41.754,3456.78968456253,18.478,73.809,17.0,27.5337837837838,83.0465220652019,37.9565582275391,15.166
El Salvador,SLV,54.23,5365.44491399171,48.521,76.264,39.0,27.3809523809524,68.5344206950006,37.275497697837,3.362
Equatorial Guinea,GNQ,150.442,6677.793435386,53.265,65.661,174.0,31.0,,,9.244
Eritrea,ERI,65.177,,72.862,70.656,291.0,22.0,40.2760810852051,,6.651
Estonia,EST,5.026,30264.0064885057,61.049,83.3,5.0,28.7128712871287,110.660980224609,81.3784027099609,6.638
Eswatini,SWZ,68.726,3755.52111232464,48.24,66.953,118.0,17.1428571428571,,,37.01
Ethiopia,ETH,69.865,1055.81091592527,58.141,70.726,195.0,41.3135593220339,,,4.679
Faroe Islands,FRO,4.672,72465.3769660215,,84.8518,,,,,
Fiji,FJI,21.169,5926.20586394763,38.419,69.362,30.0,10.9090909090909,99.1709898140329,70.9389846794427,6.977
Finland,FIN,3.095,52834.2916752703,57.489,84.3,8.0,46.0,151.367446899414,123.14087677002,6.413
France,FRA,3.507,44700.1384177544,52.108,85.7,7.0,37.7816291161178,104.395561218262,80.5344314575195,7.205
French Polynesia,PYF,24.344,21832.2831795569,47.404,86.505,,,,,12.61
Gabon,GAB,91.707,7802.82433276138,41.876,71.052,233.0,24.4897959183673,72.0510629415333,,28.777
"Gambia, The",GMB,58.094,883.024111719809,45.242,67.534,354.0,8.62068965517241,116.372766553778,,5.776
Georgia,GEO,21.137,8283.66960652261,56.251,79.107,20.0,18.4397163120567,99.8475609756098,84.0958562940011,10.177
Germany,DEU,5.473,54776.7668235491,55.821,83.5,4.0,35.1902173913043,97.6778869628906,82.1993179321289,2.857
Ghana,GHA,58.238,2383.90410483418,55.53,67.943,234.0,14.5454545454545,77.9574778013858,21.6757346417755,3.12
Gibraltar,GIB,8.8,,,86.143,,,75.0780762023735,,
Greece,GRC,7.044,23343.7103964562,44.646,84.4,5.0,23.0,104.025230407715,171.113082885742,14.238
Greenland,GRL,36.101,58498.9707973609,,72.97,,,,,
Grenada,GRD,29.088,11414.4781691181,,78.359,48.0,31.25,102.901307966706,112.941963195801,
Guam,GUM,33.39,41833.1517132825,56.391,81.419,,,,,4.987
Guatemala,GTM,68.269,5758.32760847852,38.14,74.877,94.0,20.0,48.2479657338074,30.5259191296939,3.032
Guinea,GIN,118.577,1555.49375806861,42.739,61.897,494.0,29.6296296296296,,,5.212
Guinea-Bissau,GNB,81.981,988.087886357022,60.084,66.362,505.0,9.80392156862745,,,1.82
Guyana,GUY,69.927,20473.7002190617,46.479,73.944,75.0,36.6197183098592,84.2535171508789,35.2743241701836,13.288
Haiti,HTI,49.775,1705.75808460999,59.351,68.3,328.0,2.54237288135593,,,17.612
Honduras,HND,82.079,3227.45762509776,39.364,75.501,47.0,27.34375,59.4406700134277,29.6191849826706,8.817
"Hong Kong SAR, China",HKG,1.12,50562.3633144379,52.27,88.09,,,103.838896020539,110.140271493213,2.422
Hungary,HUN,17.537,22230.6277875187,53.995,79.9,12.0,14.070351758794,104.916549682617,63.1527786254883,4.156
Iceland,ISL,3.369,82138.7892973557,70.368,84.3,3.0,47.6190476190476,106.320831298828,104.202987670898,3.103
India,IND,14.06,2530.12031278204,30.984,73.598,80.0,15.2416356877323,78.7503140925354,35.2437991377201,4.057
Indonesia,IDN,26.419,4876.30774512252,53.487,73.268,140.0,21.5652173913044,97.4046705284819,49.8897505872353,3.083
"Iran, Islamic Rep.",IRN,26.204,5049.29931642754,14.128,79.628,16.0,5.59440559440559,86.1972427368164,59.131290435791,15.11
Iraq,IRQ,58.006,5965.31835077761,10.913,74.055,66.0,29.0519877675841,,,29.61
Ireland,IRL,4.069,106818.917130804,60.155,84.6,4.0,23.125,136.129119873047,85.6828994750977,4.216
Isle of Man,IMN,8.685,88328.548125887,,83.134,,,,,
Israel,ISR,6.204,52003.7200729997,61.338,85.5,2.0,24.1666666666667,99.5341491699219,67.1937103271484,3.194
Italy,ITA,2.852,39277.0838783918,41.312,85.4,6.0,32.25,100.401916503906,89.5502166748047,8.763
Jamaica,JAM,36.541,7542.40084275345,63.047,73.994,130.0,28.5714285714286,85.6044566148171,,3.93
Japan,JPN,1.737,33836.1756271617,54.847,87.14,3.0,10.3448275862069,101.637001037598,63.6293296813965,2.322
Jordan,JOR,18.425,4466.08314208575,15.933,80.192,31.0,12.3076923076923,93.1909358247647,40.4090341678811,23.072
Kazakhstan,KAZ,18.235,12879.4275257974,65.029,78.394,10.0,18.3673469387755,94.8671029040021,59.9310187694943,5.473
Kenya,KEN,56.313,1942.58802756191,62.946,65.92,149.0,23.2758620689655,84.7505339840655,7.29617444896105,6.83
Kiribati,KIR,44.026,2177.70125812262,,68.17,80.0,6.66666666666667,100.551571980143,,
"Korea, Dem. People's Rep.",PRK,0.512,,77.724,75.744,67.0,17.6128093158661,,17.9555892944336,3.586
"Korea, Rep.",KOR,0.537,35674.095995632,56.038,86.4,4.0,19.0635451505017,95.9690704345703,99.2188186645508,2.722
Kosovo,XKX,7.834,6221.20618847799,,80.118,,,,,
Kuwait,KWT,1.576,34075.849012909,48.179,83.7,8.0,3.07692307692308,,65.9408689214824,5.893
Kyrgyz Republic,KGZ,28.324,2138.22210211478,43.495,76.5,42.0,20.0,92.1027509613575,58.4761976216379,4.197
Lao PDR,LAO,81.654,2066.94979776957,61.407,71.25,112.0,21.9512195121951,53.2568302183413,12.6891498565674,0.871
Latvia,LVA,7.565,22710.2637544197,55.436,80.6,19.0,32.0,102.485107421875,101.502548217773,5.432
Lebanon,LBN,20.831,3477.72489842684,22.234,79.734,15.0,6.25,66.7372772721446,57.1435211987779,14.48
Lesotho,LSO,70.642,916.282976983803,48.426,60.007,478.0,26.4462809917355,,11.9503822035062,18.582
Liberia,LBR,126.012,799.194470229642,71.966,63.444,628.0,10.958904109589,37.0220985412598,,2.237
Libya,LBY,5.923,6026.51518708812,33.465,70.416,59.0,16.4705882352941,,,24.931
Liechtenstein,LIE,1.718,206780.590353385,,86.9,,28.0,109.090911865234,36.329231262207,
Lithuania,LTU,5.854,27786.0057829276,57.914,81.9,8.0,28.3687943262411,104.355499267578,91.756950378418,6.373
Luxembourg,LUX,4.023,133230.619178899,57.196,85.0,11.0,33.3333333333333,108.685668945312,23.4462203979492,5.436
"Macao SAR, China",MAC,0.465,67216.3631112124,62.631,86.1,,,91.7987421383648,134.410891089109,1.935
Madagascar,MDG,129.802,508.718427705591,82.866,65.377,445.0,18.5430463576159,35.2580222250234,6.22109620045972,3.305
Malawi,MWI,113.577,633.214767978695,58.644,70.562,225.0,20.7253886010363,37.2564052253575,2.22621093042937,5.946
Malaysia,MYS,5.962,11386.0395636528,51.592,79.37,26.0,13.5135135135135,82.6422941806466,44.304019878896,4.04
Maldives,MDV,5.425,12587.6126038651,40.311,82.819,32.0,4.59770114942529,84.9893523087311,79.9435223432219,3.464
Mali,MLI,138.564,1043.9533853528,53.06,61.9,367.0,28.5714285714286,37.1307560416794,,3.09
Malta,MLT,10.398,40905.8059585057,55.525,85.2,8.0,27.8481012658228,103.851119995117,101.422912597656,3.201
Marshall Islands,MHL,71.839,6793.24495895856,,69.334,155.0,12.1212121212121,96.0382030420941,47.2116946399567,
Mauritania,MRT,88.903,2135.78187606359,26.198,70.484,381.0,23.2954545454545,36.1789325617578,4.35593332639211,15.05
Mauritius,MUS,19.768,11269.9684462139,47.644,76.89,66.0,20.0,91.3439926033381,52.3138578358996,7.502
Mexico,MEX,60.099,13860.9597809326,47.317,77.811,42.0,50.0,108.700912475586,51.6074905395508,2.797
"Micronesia, Fed. Sts.",FSM,43.719,3919.64307910859,,71.119,129.0,14.2857142857143,,,
Moldova,MDA,23.04,6799.58594644576,70.064,75.535,19.0,38.6138613861386,96.9969097488181,81.7232329363875,1.234
Monaco,MCO,9.69,256799.788612806,,88.504,5.0,45.8333333333333,,,
Mongolia,MNG,19.739,5838.63108083902,52.467,76.85,41.0,17.1052631578947,99.3672996596348,85.6669090196632,4.345
Montenegro,MNE,9.375,12259.8775034436,51.777,80.2,6.0,20.9876543209877,95.1452331542969,66.92431640625,14.151
Morocco,MAR,25.103,3813.72607421875,19.671,77.6,70.0,24.3037974683544,87.2227171713839,51.8200104174748,10.578
Mozambique,MOZ,153.45,622.000297682823,77.269,66.544,99.0,43.2,,6.68452621110757,7.325
Myanmar,MMR,33.506,1233.19666209269,41.051,70.164,185.0,15.2941176470588,81.8814926147461,24.3676490783691,3.633
Namibia,NAM,66.034,4187.60500396525,54.828,71.337,139.0,44.2307692307692,86.2067962132394,33.1193265907429,17.948
Nauru,NRU,76.239,12752.4723855838,,64.003,273.0,10.5263157894737,93.0666732788086,,
Nepal,NPL,67.169,1382.33055769304,27.302,71.837,142.0,33.0882352941176,90.7214299008772,20.7927142124166,11.933
Netherlands,NLD,1.858,63515.6030780019,63.079,83.4,4.0,40.0,140.839157104492,94.4388198852539,3.744
New Caledonia,NCL,12.156,33701.8923322781,52.221,81.286,,,,,11.621
New Zealand,NZL,10.879,49075.9562832927,66.922,83.5,7.0,44.2622950819672,117.271408081055,95.5678100585938,3.974
Nicaragua,NIC,93.452,2609.44492072931,50.728,77.418,60.0,51.6483516483517,70.6665573120117,35.6554985046387,4.828
Niger,NER,145.324,638.336080897887,72.501,62.129,350.0,25.9036144578313,20.6873224974982,3.21490820419114,0.283
Nigeria,NGA,86.432,2138.76383719983,80.693,54.743,993.0,3.91061452513966,47.4061508178711,,4.113
North Macedonia,MKD,12.963,8674.35846327485,42.158,77.58,3.0,42.5,90.173713684082,64.9685974121094,11.453
Northern Mariana Islands,MNP,26.151,23785.754590043,,80.74,,,,,
Norway,NOR,1.405,87497.2179649556,62.371,84.6,1.0,46.1538461538462,116.642189025879,114.607200622559,3.454
Oman,OMN,5.986,21027.7384778886,30.321,81.882,13.0,0.0,91.191469277966,52.9462515450918,11.296
Pakistan,PAK,41.095,1360.32417758419,23.997,70.163,155.0,20.4678362573099,39.5879695501278,10.3220983854533,6.775
Palau,PLW,29.927,15610.8231931032,,71.798,89.0,6.25,97.6190476190476,49.6957403651116,
Panama,PAN,57.342,18797.1933994045,52.694,82.557,37.0,22.5352112676056,,66.3187931744362,8.544
Papua New Guinea,PNG,54.069,2966.06830432055,50.644,69.085,189.0,2.7027027027027,48.1780291095574,,2.157
Paraguay,PRY,70.332,6299.99026533713,58.994,76.953,58.0,22.5,81.5245895544797,,7.341
Peru,PER,43.562,7887.54185920108,65.083,80.123,51.0,38.7596899224806,113.164916992188,,5.8
Philippines,PHL,31.887,3804.08274131097,50.445,72.819,84.0,27.3311897106109,92.2052107888903,50.9499907329313,2.48
Poland,POL,6.191,22145.2660647429,52.209,82.1,2.0,29.3478260869565,107.910926818848,93.4927291870117,2.788
Portugal,PRT,6.985,27634.6183139773,54.719,85.3,15.0,36.0869565217391,121.013473510742,85.4132080078125,6.862
Puerto Rico (US),PRI,14.076,36980.7884784287,36.29,85.243,11.0,,112.479949951172,95.9290709290709,4.691
Qatar,QAT,5.693,81816.9797967481,63.308,83.368,4.0,4.44444444444444,100.555801391602,72.1567687988281,0.378
Romania,ROU,33.75,18244.4186876321,42.172,80.4,12.0,19.0909090909091,81.8756637573242,62.9621315002441,5.12
Russian Federation,RUS,12.974,14159.3876953125,55.363,78.73,9.0,16.4444444444445,91.6148817164136,98.1264801025391,3.188
Rwanda,RWA,30.779,1027.03446826565,58.044,69.886,229.0,61.25,48.7785157251447,7.74449892974717,14.365
Samoa,WSM,43.538,4822.74084650019,31.158,73.662,101.0,12.962962962963,,21.8301579821768,7.59
San Marino,SMR,1.158,59879.7173015651,,87.1,8.0,33.3333333333333,59.8075499629904,48.187134502924,
Sao Tome and Principe,STP,86.195,2990.6606143535,22.874,73.728,75.0,14.5454545454545,,,9.153
Saudi Arabia,SAU,11.114,36156.848337701,34.278,81.156,7.0,19.8675496688742,120.79801594321,78.4519577026367,12.434
