Country Name,Country Code,adolescent_fertility,gdp_per_capita,female_labor_force_participation,female_life_expectancy,maternal_mortality,women_in_parliament,female_secondary_enrollment,female_tertiary_enrollment,female_unemployment,female_secondary_enrollment_norm,female_tertiary_enrollment_norm,female_labor_force_participation_norm,female_life_expectancy_norm,women_in_parliament_norm,female_unemployment_norm,maternal_mortality_norm,adolescent_fertility_norm,education_index,economic_participation_index,health_index,political_representation_index,womens_development_index,Economy,Economy Code,ISO Code,Region,Income Group,Report Year,I. Economy LF Index,1. Safety LF Topic Score,2. Mobility LF Topic Score,3. Work LF Topic Score,4. Pay LF Topic Score,5. Marriage LF Topic Score,6. Parenthood LF Topic Score,7. Childcare LF Topic Score,8. Entrepreneurship LF Topic Score,9. Assets LF Topic Score,10. Pension LF Topic Score,II. Economy SF Index,1. Safety SF Topic Score,2. Mobility SF Topic Score,3. Work SF Topic Score,4. Pay SF Topic Score,5. Marriage SF Topic Score,6. Parenthood SF Topic Score,7. Childcare SF Topic Score,8. Entrepreneurship SF Topic Score,9. Assets SF Topic Score,10. Pension SF Topic Score,III. Economy EP Index,1. Safety EP Topic Score,2. Mobility EP Topic Score,3. Work EP Topic Score,4. Pay EP Topic Score,5. Marriage EP Topic Score,6. Parenthood EP Topic Score,7. Childcare EP Topic Score,8. Entrepreneurship EP Topic Score,9. Assets EP Topic Score,10. Pension EP Topic Score
Poland,POL,6.191,22145.2660647429,52.209,82.1,2.0,29.3478260869565,107.910926818848,93.4927291870117,2.788,0.7018616548850224,0.54040031175858,0.6075351409478454,0.8203736468048097,0.4791481810115346,0.9351595878361396,0.998991935483871,0.962571493937314,0.6211309833218013,0.7713473643919926,0.9273123587419984,0.4791481810115346,0.6997347218668317,Poland,POL,POL,High income: OECD,High income,2026,83.33,37.5,100.0,83.25,100.0,100,100.0,100.0,50.0,100,62.5,65.43,62.5,75.0,66.75,50.0,75.0,75.0,75.0,50.0,25.0,100.0,74.89,18.75,100,60.38,81.25,100,100,71.88,50,100,66.67
Peru,PER,43.562,7887.54185920108,65.083,80.123,51.0,38.7596899224806,113.164916992188,60.20214459287705,5.8,0.7369304906632707,0.343282654188705,0.7723455462529123,0.7610879539388851,0.6328112640404996,0.8594621764262378,0.9495967741935484,0.718292643069582,0.5401065724259878,0.815903861339575,0.8096591237340052,0.6328112640404996,0.6996202053850169,Peru,PER,PER,Latin America & Caribbean,Upper middle income,2026,88.65,93.75,100.0,91.75,100.0,75,92.75,100.0,50.0,100,83.25,71.18,91.75,100.0,75.0,87.5,87.5,75.0,25.0,82.5,12.5,75.0,59.82,42.19,100,52.13,50,59.38,69.56,41.67,37.5,93.75,52
Estonia,EST,5.026,30264.0064885057,61.049,83.3,5.0,28.7128712871287,110.660980224609,81.3784027099609,6.638,0.7202174507822836,0.4686698904606105,0.7207030749929589,0.8563588928539297,0.4687815720347543,0.8384016084443328,0.995967741935484,0.970186619603229,0.5944436706214471,0.7795523417186458,0.9408377514642142,0.4687815720347543,0.6959038339597653,Estonia,EST,EST,High income: OECD,High income,2026,86.28,12.5,100.0,91.75,100.0,100,100.0,91.75,75.0,100,91.75,62.3,60.5,75.0,100.0,62.5,62.5,25.0,75.0,50.0,50.0,62.5,79.53,6.25,96.88,68.81,87.5,100,100,91.67,58.33,96.88,89
Croatia,HRV,6.57,22184.2279304842,47.139,81.7,3.0,31.7880794701987,108.546096801758,97.7153091430664,6.652,0.7061012273027575,0.5654027285075385,0.5426300023043245,0.8083785647884367,0.5189890525746726,0.8380497612465443,0.997983870967742,0.9600941268751838,0.6357519779051479,0.6903398817754344,0.9221521875437876,0.5189890525746726,0.6918082749497606,Croatia,HRV,HRV,Europe & Central Asia,High income,2026,94.4,87.5,100.0,87.5,100.0,100,100.0,100.0,75.0,100,94.0,66.08,70.75,75.0,75.0,50.0,100.0,75.0,75.0,52.5,37.5,50.0,84.97,57.81,100,68.75,93.75,100,96.88,71.88,66.67,100,94
Ecuador,ECU,55.531,6737.84748379638,52.521,80.139,55.0,43.0656934306569,94.1827583420861,76.0744634319622,4.349,0.6102301767199922,0.437264611787428,0.6115293033259083,0.7615677572195397,0.7031133621331739,0.8959286252827343,0.9455645161290324,0.6400562146615681,0.5237473942537101,0.7537289643043212,0.7823961626700466,0.7031133621331739,0.6907464708403129,Ecuador,ECU,ECU,Latin America & Caribbean,Upper middle income,2026,88.63,68.75,100.0,87.5,100.0,100,84.0,66.75,87.5,100,91.75,65.13,93.75,100.0,100.0,75.0,75.0,25.0,25.0,70.0,12.5,75.0,68.28,38.31,90.63,46.88,75,78.13,84,34.38,56.25,87.5,91.75
United States,USA,13.145,81032.262117545,56.602,81.1,17.0,28.9655172413793,98.6511611938477,94.8502197265625,3.45,0.6400554486808393,0.5484381806813344,0.6637734593030697,0.7903859417638766,0.4729064039408865,0.9185222417692888,0.9838709677419356,0.917116057129784,0.5942468146810869,0.7911478505361793,0.8971243222118653,0.4729064039408865,0.6888563478425045,United States,USA,USA,High income: OECD,High income,2026,87.58,62.5,100.0,100.0,75.0,100,96.5,100.0,75.0,100,66.75,69.93,91.75,75.0,50.0,62.5,87.5,25.0,75.0,95.0,37.5,100.0,68.13,43.75,100,65.63,55.77,93.75,59.88,62.5,56.25,87.5,56.31
Bolivia,BOL,64.848,4274.70820547613,72.455,71.145,146.0,46.1538461538462,91.2883197233107,60.20214459287705,3.432,0.590910652083819,0.343282654188705,0.8667204342371406,0.4918583380813864,0.7535321821036115,0.9189746167378738,0.8538306451612903,0.5791548190999117,0.467096653136262,0.8928475254875072,0.6416146007808629,0.7535321821036115,0.6887727403770609,Bolivia,BOL,BOL,Latin America & Caribbean,Lower middle income,2026,76.3,81.25,100.0,66.75,100.0,100,78.25,0.0,50.0,100,86.75,47.5,62.5,75.0,25.0,25.0,75.0,25.0,0.0,37.5,50.0,100.0,54.76,35.42,96.88,36.5,28.27,93.75,57.38,0,43.75,93.75,61.94
Lithuania,LTU,5.854,27786.0057829276,57.914,81.9,8.0,28.3687943262411,104.355499267578,91.756950378418,6.373,0.6781302239528469,0.5301225513353011,0.6805694241749238,0.8143761057966235,0.4631639889998547,0.845061573259613,0.9929435483870968,0.9647743242801582,0.604126387644074,0.7628154987172684,0.924031326154626,0.4631639889998547,0.6885343003789558,Lithuania,LTU,LTU,High income: OECD,High income,2026,91.2,37.5,100.0,87.5,100.0,100,100.0,100.0,87.5,100,99.5,61.05,48.0,75.0,100.0,62.5,87.5,50.0,50.0,37.5,50.0,50.0,77.24,18.75,100,65.63,84.38,100,96.88,59.38,83.33,93.75,70.33
Grenada,GRD,29.088,11414.4781691181,53.205,78.359,48.0,31.25,102.901307966706,112.941963195801,5.473,0.6684239256466172,0.655561625267516,0.6202857362316613,0.7081896422466786,0.5102040816326531,0.8676803216888666,0.9526209677419356,0.8129032258064516,0.6619927754570667,0.7439830289602639,0.8245712785983552,0.5102040816326531,0.6851877911620847,Grenada,GRD,GRD,Latin America & Caribbean,Upper middle income,2026,72.72,25.0,100.0,75.0,100.0,100,60.5,41.75,25.0,100,100.0,35.42,29.25,75.0,25.0,37.5,37.5,25.0,0.0,37.5,37.5,50.0,62.82,12.5,100,62.5,75,96.88,60.5,4.19,25,100,91.67
Greece,GRC,7.044,23343.7103964562,44.646,84.4,5.0,23.0,104.025230407715,171.113082885742,14.238,0.6759257766609629,1.0,0.5107151086873031,0.8893453683989565,0.3755102040816326,0.6473988439306358,0.995967741935484,0.9569957839003824,0.8379628883304815,0.5790569763089695,0.9474362980782742,0.3755102040816326,0.6849915916998395,Greece,GRC,GRC,High income: OECD,High income,2026,91.25,25.0,100.0,100.0,100.0,100,100.0,100.0,87.5,100,100.0,65.47,77.25,75.0,75.0,50.0,75.0,75.0,75.0,65.0,12.5,75.0,74.33,17.19,96.88,75,71.88,93.75,78.13,53.13,71.88,93.75,91.67
Uruguay,URY,26.188,23019.4221560046,56.518,81.92,15.0,26.2626262626263,125.241045093642,101.562689083766,9.46,0.8175350862667985,0.5881835396869747,0.6626981078935914,0.814975859897442,0.4287775716347151,0.7674792661472731,0.9858870967741936,0.8318593326143086,0.7028593129768865,0.7150886870204323,0.8775740964286481,0.4287775716347151,0.6810749170151704,Uruguay,URY,URY,Latin America & Caribbean,High income,2026,82.93,68.75,100.0,75.0,93.75,75,100.0,66.75,50.0,100,100.0,65.63,77.0,75.0,41.75,62.5,100.0,100.0,25.0,62.5,12.5,100.0,69.66,51.56,100,50,61.62,75,100,33.38,43.75,81.25,100
Albania,ALB,12.789,9730.86921906893,57.963,81.446,7.0,35.7142857142857,92.6682931237011,77.0315270509882,10.957,0.6001215677802748,0.4429315035235674,0.6811967124971195,0.8007616877080396,0.5830903790087462,0.7298567479266147,0.9939516129032258,0.9194430826551624,0.5215265356519211,0.7055267302118671,0.9047187944221424,0.5830903790087462,0.6787156098236692,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,2026,78.1,62.5,100.0,87.5,100.0,100,80.25,25.0,50.0,100,75.75,60.68,91.75,75.0,50.0,12.5,100.0,50.0,25.0,77.5,75.0,50.0,62.6,37.5,100,53.13,68.75,100,63.81,6.25,50,93.75,52.81
Italy,ITA,2.852,39277.0838783918,41.312,85.4,6.0,32.25,100.401916503906,89.5502166748047,8.763,0.6517412243352882,0.5170562088892333,0.4680338991730035,0.9193330734398896,0.5265306122448979,0.7849962302085951,0.9949596774193548,0.9843971631205674,0.5843987166122608,0.6265150646907993,0.966229971326604,0.5265306122448979,0.6759185912186405,Italy,ITA,ITA,High income: OECD,High income,2026,92.93,62.5,100.0,100.0,100.0,75,100.0,100.0,100.0,100,91.75,77.93,91.75,75.0,75.0,100.0,87.5,75.0,75.0,100.0,25.0,75.0,67.3,40.63,100,59.38,43.75,65.63,62.5,50,84.38,100,66.75
Israel,ISR,6.204,52003.7200729997,61.338,85.5,2.0,24.1666666666667,99.5341491699219,67.1937103271484,3.194,0.6459491331578754,0.3846805772677783,0.7244027959136646,0.9223318439439828,0.3945578231292522,0.9249560191002764,0.998991935483871,0.9624865182861064,0.5153148552128268,0.8246794075069706,0.9612700992379868,0.3945578231292522,0.6739555462717591,Israel,ISR,ISR,High income: OECD,High income,2026,80.33,68.75,100.0,66.75,81.25,50,75.0,100.0,87.5,100,74.0,48.93,25.0,87.5,16.75,62.5,75.0,25.0,50.0,60.0,37.5,50.0,67.19,40.63,100,56.31,62.75,56.25,68.75,50,76.56,100,60.69
Serbia,SRB,13.669,12281.707946167,51.414,78.6,11.0,34.8,95.2010726928711,87.7373886108398,8.644,0.6170271248603826,0.5063222303213517,0.5973577079652814,0.7154166791615435,0.5681632653061224,0.7879869313897965,0.9899193548387096,0.9136908847272608,0.5616746775908672,0.692672319677539,0.8730089729091713,0.5681632653061224,0.673879808870925,Serbia,SRB,SRB,Europe & Central Asia,Upper middle income,2026,81.88,31.25,100.0,87.5,100.0,100,87.5,75.0,50.0,100,87.5,61.1,83.5,75.0,75.0,62.5,100.0,50.0,50.0,27.5,50.0,37.5,61.14,14.06,92.19,46.88,75,87.5,62.5,43.75,37.5,75,77.06
China,CHN,5.227,12951.1782397043,60.216,80.926,16.0,26.5367819952973,94.6070022583008,80.7794373835271,4.059,0.6130618798136043,0.4651233428841222,0.710039173515631,0.7851680810867544,0.4332535835966906,0.903216888665494,0.9848790322580644,0.968872765303788,0.5390926113488632,0.8066280310905625,0.912973292882869,0.4332535835966906,0.6729868797297464,China,CHN,CHN,East Asia & Pacific,Upper middle income,2026,70.0,31.25,100.0,66.75,56.25,100,100.0,100.0,25.0,100,20.75,69.3,48.0,75.0,75.0,25.0,87.5,75.0,50.0,95.0,87.5,75.0,62.64,19.56,100,50.06,54.75,100,100,62.5,25,93.75,20.75
Luxembourg,LUX,4.023,133230.619178899,57.196,85.0,11.0,33.3333333333333,108.685668945312,23.4462203979492,5.436,0.7070328302216876,0.1256462934142959,0.6713777299843817,0.9073379914235162,0.5442176870748294,0.8686102035687359,0.9899193548387096,0.9767428179233258,0.4163395618179917,0.7699939667765587,0.9580000547285172,0.5442176870748294,0.6721378175994743,Luxembourg,LUX,LUX,High income: OECD,High income,2026,89.18,50.0,100.0,100.0,100.0,100,100.0,100.0,50.0,100,91.75,76.38,77.0,75.0,91.75,75.0,87.5,75.0,75.0,70.0,37.5,100.0,68.21,18,..,81.25,75,..,96.88,78.13,50,..,78.19
"Korea, Rep.",KOR,0.537,35674.095995632,56.038,86.4,4.0,19.0635451505017,95.9690704345703,99.2188186645508,2.722,0.6221532834166696,0.5743051938328612,0.6565532426965716,0.949320778480823,0.3112415534775787,0.936818296054285,0.9969758064516128,0.9995293656240808,0.5982292386247654,0.7966857693754283,0.9819419835188388,0.3112415534775787,0.6720246362491529,"Korea, Rep.",KOR,KOR,High income: OECD,High income,2026,85.63,50.0,100.0,75.0,56.25,100,87.5,100.0,87.5,100,100.0,76.25,70.75,75.0,91.75,75.0,75.0,50.0,100.0,87.5,62.5,75.0,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,6.981,36623.69140625,62.495,83.668,14.0,14.2857142857143,105.460327148438,127.65128326416,5.885,0.6855046244063748,0.742657323696054,0.7392144813989808,0.8673943683089934,0.2332361516034987,0.8573259612968083,0.9868951612903226,0.9574075889793116,0.7140809740512144,0.7982702213478945,0.9372323728595424,0.2332361516034987,0.6707049299655375,Cyprus,CYP,CYP,Europe & Central Asia,High income,2026,88.35,81.25,100.0,100.0,93.75,100,100.0,66.75,50.0,100,91.75,58.73,85.5,75.0,66.75,75.0,87.5,25.0,50.0,35.0,12.5,75.0,75.48,46.88,92.19,62.5,84.32,93.75,100,45.88,43.75,93.75,91.75
Czechia,CZE,5.979,31761.5944102491,53.241,82.9,3.0,26.0,98.0195083618164,76.8560104370117,3.039,0.6358393522085292,0.4418922480033222,0.6207466011214379,0.8443638108375566,0.4244897959183673,0.928851470218648,0.997983870967742,0.963957250710854,0.5388658001059257,0.7747990356700429,0.9354349775053842,0.4244897959183673,0.6683974022999299,Czechia,CZE,CZE,High income: OECD,High income,2026,86.6,31.25,100.0,100.0,100.0,100,100.0,100.0,50.0,100,84.75,70.75,50.0,100.0,75.0,75.0,62.5,75.0,87.5,57.5,37.5,87.5,76.51,4.17,100,75,87.5,96.88,100,87.5,43.75,90.63,79.67
Puerto Rico (US),PRI,14.076,36980.7884784287,36.29,85.243,11.0,25.04489795918365,112.479949951172,95.9290709290709,4.691,0.732358537560505,0.5548261917210194,0.4037432470491845,0.9146250037484628,0.4088962932111616,0.887333500879618,0.9899193548387096,0.9110304931856064,0.6435923646407622,0.6455383739644013,0.9385249505909262,0.4088962932111616,0.6591379956018127,Puerto Rico (US),PRI,PRI,Latin America & Caribbean,High income,2026,79.97,68.75,100.0,91.75,75.0,100,39.25,100.0,50.0,100,75.0,54.25,75.0,75.0,50.0,62.5,75.0,0.0,100.0,30.0,50.0,25.0,65.06,51.56,100,57.31,53.13,100,34.38,50,43.75,93.75,66.67
North Macedonia,MKD,12.963,8674.35846327485,42.158,77.58,3.0,42.5,90.173713684082,64.9685974121094,11.453,0.5834709853053205,0.3715054092438969,0.4788642240827508,0.6848292200197917,0.6938775510204082,0.7173913043478262,0.997983870967742,0.9183057162466908,0.4774881972746087,0.5981277642152885,0.8670396024114081,0.6938775510204082,0.6591332787304284,North Macedonia,MKD,MKD,Europe & Central Asia,Upper middle income,2026,83.53,100.0,100.0,79.25,62.5,100,78.5,75.0,50.0,100,90.0,56.68,91.75,75.0,50.0,25.0,100.0,100.0,25.0,25.0,25.0,50.0,59.56,37.5,96.88,43.75,39.31,90.63,57.56,34.38,46.88,96.88,51.88
St. Kitts and Nevis,KNA,35.183,22576.9248439166,53.205,76.023,74.0,31.25,130.727762803234,60.20214459287705,5.473,0.8541573097524144,0.343282654188705,0.6202857362316613,0.6381383632710587,0.5102040816326531,0.8676803216888666,0.9264112903225806,0.7730627185671798,0.5987199819705598,0.7439830289602639,0.7792041240536064,0.5102040816326531,0.6580278041542708,St. Kitts and Nevis,KNA,KNA,Latin America & Caribbean,High income,2026,60.45,25.0,100.0,25.0,56.25,100,73.25,25.0,25.0,75,100.0,37.5,25.0,75.0,25.0,25.0,62.5,50.0,50.0,0.0,12.5,50.0,47.78,12.5,100,25,17.88,93.75,57.88,0,25,75,70.83
Dominica,DMA,34.138,9912.96212766668,53.205,74.545,36.0,37.5,96.3274307250977,60.20214459287705,5.473,0.6245452327282082,0.343282654188705,0.6202857362316613,0.5938165352205595,0.6122448979591837,0.8676803216888666,0.964717741935484,0.7798934536065627,0.4839139434584566,0.7439830289602639,0.779475910254202,0.6122448979591837,0.6549044451580266,Dominica,DMA,DMA,Latin America & Caribbean,Upper middle income,2026,59.03,25.0,100.0,25.0,56.25,100,34.0,50.0,25.0,100,75.0,30.83,8.25,50.0,0.0,25.0,50.0,25.0,25.0,37.5,37.5,50.0,46.53,12.5,84.38,18.75,36.19,84.38,25.94,37.5,21.88,68.75,75
Viet Nam,VNM,34.277,4323.35031982451,69.215,79.264,48.0,30.2605210420842,90.5445572317873,36.0774676873689,1.511,0.5859462566790453,0.2004374666012913,0.8252425941572574,0.7353285153087232,0.4940493231360686,0.9672530786629806,0.9526209677419356,0.7789848677974964,0.3931918616401683,0.896247836410119,0.8223114502827183,0.4940493231360686,0.6514501178672685,Viet Nam,VNM,VNM,East Asia & Pacific,Lower middle income,2026,86.73,62.5,100.0,100.0,100.0,100,84.0,100.0,75.0,100,45.75,56.83,70.75,75.0,25.0,75.0,75.0,75.0,25.0,60.0,37.5,50.0,66.61,37.5,100,68.75,50,100,63,50,66.67,93.75,36.44
San Marino,SMR,1.158,59879.7173015651,53.205,87.1,8.0,33.3333333333333,59.8075499629904,48.187134502924,5.473,0.3807857929815988,0.2721402974688043,0.6202857362316613,0.9703121720094758,0.5442176870748294,0.8676803216888666,0.9929435483870968,0.9954701441317776,0.3264630452252016,0.7439830289602639,0.9862419548427832,0.5442176870748294,0.6502264290257695,San Marino,SMR,SMR,Europe & Central Asia,High income,2026,78.55,43.75,100.0,75.0,75.0,75,100.0,100.0,25.0,100,91.75,35.85,83.5,75.0,0.0,12.5,12.5,50.0,50.0,0.0,0.0,75.0,76.15,29.17,93.75,75,75,81.25,96.88,100,25,93.75,91.75
Armenia,ARM,13.445,8159.08720967996,51.517,81.0,19.0,35.5140186915888,88.2232017685754,63.8260087137715,13.155,0.5704518931883412,0.364740000629779,0.5986762936221419,0.7873871712597834,0.5798207133320621,0.6746167378738377,0.9818548387096774,0.915155080563454,0.4675959469090601,0.6366465157479898,0.8947990301776382,0.5798207133320621,0.6447155515416876,Armenia,ARM,ARM,Europe & Central Asia,Upper middle income,2026,75.0,25.0,100.0,87.5,75.0,100,87.5,50.0,25.0,100,100.0,44.83,83.25,75.0,25.0,37.5,50.0,50.0,0.0,52.5,37.5,37.5,60.16,12.5,93.75,57.81,56.25,87.5,65.63,25,25,100,78.13
Nicaragua,NIC,93.452,2609.44492072931,50.728,77.418,60.0,51.6483516483517,70.6665573120117,35.6554985046387,4.828,0.4532664663124996,0.1979389350230532,0.5885756714545407,0.6799712118031608,0.8432383942588032,0.8838904247298316,0.9405241935483872,0.3921822400888975,0.3256027006677764,0.7362330480921861,0.6708925484801486,0.8432383942588032,0.6439916728747286,Nicaragua,NIC,NIC,Latin America & Caribbean,Lower middle income,2026,70.03,68.75,100.0,75.0,75.0,100,73.25,0.0,50.0,100,58.25,31.43,16.75,75.0,0.0,0.0,100.0,25.0,0.0,35.0,37.5,25.0,59.23,40.63,100,41.67,62.5,100,62.5,0,40.63,100,44.33
Cabo Verde,CPV,38.755,4794.90121917259,50.216,79.209,40.0,41.6666666666667,103.582593697222,29.9564459930314,11.316,0.6729713070868725,0.1641941421588969,0.5820211485777197,0.7336791915314721,0.680272108843538,0.7208343804976125,0.9606854838709676,0.7497140242507435,0.4185827246228847,0.651427764537666,0.8146928998843945,0.680272108843538,0.6412438744721207,Cabo Verde,CPV,CPV,Sub-Saharan Africa,Upper middle income,2026,75.03,31.25,100.0,62.5,75.0,100,85.5,66.75,50.0,100,79.25,46.55,56.25,75.0,41.75,37.5,75.0,75.0,0.0,55.0,12.5,37.5,59.14,17.19,96.88,37.5,25,96.88,79.25,27.13,43.75,96.88,70.94
Barbados,BRB,45.332,25583.878782727,61.146,78.615,35.0,26.6666666666667,104.055282592773,73.9003917179631,6.896,0.6761263661382566,0.4243916650105206,0.7219448498348567,0.7158664947371575,0.4353741496598645,0.8319175672279467,0.9657258064516128,0.7067228813282348,0.5502590155743886,0.7769312085314017,0.7961050608390017,0.4353741496598645,0.6396673586511641,Barbados,BRB,BRB,Latin America & Caribbean,High income,2026,66.1,12.5,75.0,75.0,68.75,100,71.5,33.25,25.0,100,100.0,31.68,29.25,50.0,25.0,12.5,62.5,25.0,25.0,25.0,12.5,50.0,62.9,3.13,87.5,62.5,60.69,100,71.5,22.88,25,100,95.83
Ethiopia,ETH,69.865,1055.81091592527,58.141,70.726,195.0,41.3135593220339,94.6070022583008,60.20214459287705,4.679,0.6130618798136043,0.343282654188705,0.6834754333410143,0.4792934896692355,0.6745070909719821,0.887635084192008,0.8044354838709677,0.5463607543223192,0.4781722670011546,0.7855552587665111,0.6100299092875076,0.6745070909719821,0.6370661315067888,Ethiopia,ETH,ETH,Sub-Saharan Africa,,2026,57.2,25.0,100.0,50.0,50.0,75,55.25,0.0,50.0,100,66.75,33.0,37.5,87.5,0.0,12.5,37.5,0.0,0.0,30.0,100.0,25.0,52.31,12.5,100,37.5,48.55,81.25,48.38,0,43.75,93.75,57.38
Bulgaria,BGR,39.098,15853.208636704,51.029,79.7,6.0,24.1666666666667,94.6070022583008,91.7683181762695,4.217,0.6130618798136043,0.5301898614685274,0.5924290140051719,0.7484031547065703,0.3945578231292522,0.8992460417190249,0.9949596774193548,0.7474719743765729,0.5716258706410658,0.7458375278620983,0.830278268834166,0.3945578231292522,0.6355748726166456,Bulgaria,BGR,BGR,Europe & Central Asia,High income,2026,88.65,68.75,100.0,100.0,100.0,100,100.0,100.0,50.0,100,67.75,63.18,79.25,75.0,75.0,50.0,75.0,50.0,75.0,52.5,50.0,50.0,67.62,22.92,100,68.75,68.06,100,75,40.63,50,100,50.81
Bahrain,BHR,7.535,29290.1284215098,42.382,81.987,17.0,20.0,101.916572717024,84.3254442585066,3.591,0.6618511081085523,0.4861196869689234,0.48173182784136,0.8169850361351844,0.3265306122448979,0.9149786378487056,0.9838709677419356,0.9537863189201556,0.5739853975387379,0.6983552328450329,0.9182141075990918,0.3265306122448979,0.6292713375569401,Bahrain,BHR,BHR,Middle East & North Africa,High income,2026,43.15,6.25,25.0,25.0,100.0,25,42.0,50.0,50.0,25,83.25,39.3,60.5,25.0,25.0,37.5,75.0,0.0,25.0,57.5,12.5,75.0,40.82,4.69,..,25,78.13,..,35.31,31.25,43.75,..,67.63
Russian Federation,RUS,12.974,14159.3876953125,55.363,78.73,9.0,16.4444444444445,91.6148817164136,98.1264801025391,3.188,0.5930903571326891,0.5678373224739748,0.6479120260132626,0.7193150808168651,0.2684807256235836,0.9251068107564716,0.9919354838709676,0.918233813772592,0.5804638398033319,0.7865094183848671,0.8764947928201416,0.2684807256235836,0.6279871941579811,Russian Federation,RUS,RUS,Europe & Central Asia,High income,2026,72.3,0.0,100.0,100.0,56.25,100,75.0,100.0,25.0,100,66.75,53.58,33.25,75.0,25.0,50.0,62.5,25.0,87.5,77.5,50.0,50.0,59.84,0,84.38,50,54.19,87.5,68.75,75,25,93.75,..
Timor-Leste,TLS,27.406,1502.41147438211,60.774,69.436,192.0,36.9230769230769,89.3942621030436,31.5507306442772,1.542,0.5782683757474966,0.1736340982240886,0.7171825793071663,0.4406093501664319,0.6028257456828882,0.9664739884393064,0.8074596774193549,0.8238977677550087,0.3759512369857926,0.8418282838732363,0.6906555984469317,0.6028257456828882,0.6278152162472121,Timor-Leste,TMP,TLS,East Asia & Pacific,Lower middle income,2026,68.2,31.25,100.0,66.75,100.0,75,84.0,0.0,25.0,100,100.0,31.68,100.0,75.0,16.75,0.0,12.5,25.0,0.0,0.0,12.5,75.0,40.69,21.13,90.63,31.25,46.88,56.25,42,0,18.75,50,50
Rwanda,RWA,30.779,1027.03446826565,58.044,69.886,229.0,61.25,48.7785157251447,7.74449892974717,14.365,0.3071702402837124,0.0326744638907039,0.6822336584991165,0.4541038174348515,1.0,0.6442070872078411,0.7701612903225806,0.8018498545609046,0.1699223520872081,0.6632203728534789,0.6753716541061122,1.0,0.6271285947616998,Rwanda,RWA,RWA,Sub-Saharan Africa,Low income,2026,71.47,31.25,100.0,50.0,100.0,100,75.0,41.75,50.0,100,66.75,70.47,85.5,100.0,41.75,37.5,100.0,75.0,0.0,90.0,100.0,75.0,56.46,21.88,100,37.5,62.5,93.75,45.31,16.69,43.75,100,43.17
Uganda,UGA,106.954,1002.30913917142,75.445,71.116,170.0,33.8129496402878,94.6070022583008,60.20214459287705,3.341,0.6130618798136043,0.343282654188705,0.904997823693576,0.4909886946351994,0.5520481573924538,0.9212616235234984,0.8296370967741935,0.3039252214269372,0.4781722670011546,0.9131297236085372,0.5415170042787767,0.5520481573924538,0.6212167880702306,Uganda,UGA,UGA,Sub-Saharan Africa,Low income,2026,64.13,37.5,100.0,50.0,75.0,100,53.75,41.75,50.0,75,58.25,55.93,16.75,75.0,50.0,62.5,75.0,50.0,25.0,67.5,87.5,50.0,42.27,14.06,98.44,40.63,27.08,84.38,26.88,20.88,37.5,56.25,16.63
Jamaica,JAM,36.541,7542.40084275345,63.047,73.994,130.0,28.5714285714286,85.6044566148171,60.20214459287705,3.93,0.5529725411697111,0.343282654188705,0.7462810763755535,0.5772933097430053,0.4664723032069975,0.9064589092736868,0.8699596774193549,0.7641860313102592,0.448127597679208,0.8263699928246202,0.7371463394908732,0.4664723032069975,0.6195290583004248,Jamaica,JAM,JAM,Latin America & Caribbean,Upper middle income,2026,61.85,18.75,100.0,25.0,68.75,100,39.25,75.0,25.0,100,66.75,46.25,37.5,75.0,50.0,37.5,62.5,25.0,75.0,37.5,12.5,50.0,51.34,9.38,100,25,57.13,96.88,39.25,25,25,96.88,38.92
Thailand,THA,26.145,7195.10130919449,60.311,80.861,34.0,18.8376753507014,96.6361035696829,52.2406320377059,0.808,0.6266055329836009,0.296141556346134,0.711255344752541,0.7832188802590938,0.3075538832767575,0.9849208343804976,0.966733870967742,0.8321404059221492,0.4613735446648674,0.8480880895665193,0.8606977190496616,0.3075538832767575,0.6194283091394515,Thailand,THA,THA,East Asia & Pacific,Upper middle income,2026,69.4,25.0,87.5,75.0,87.5,75,60.5,91.75,25.0,100,66.75,32.92,91.75,75.0,0.0,25.0,87.5,25.0,0.0,12.5,12.5,0.0,53.38,6.25,90.63,46.88,50,71.88,45.38,47.94,25,96.88,52.92
Slovak Republic,SVK,24.59,24614.8734642794,55.698,81.5,4.0,22.0,93.5071716308594,63.110668182373,5.936,0.6057208345536907,0.3605043811105319,0.6522006298486827,0.80238102378025,0.3591836734693877,0.8560442322191506,0.9969758064516128,0.8423048011242932,0.4831126078321113,0.7541224310339166,0.8805538771187186,0.3591836734693877,0.6192431473635336,Slovak Republic,SVK,SVK,High income: OECD,High income,2026,86.73,43.75,100.0,100.0,75.0,100,100.0,91.75,75.0,100,81.75,55.68,54.25,75.0,50.0,25.0,75.0,100.0,75.0,15.0,37.5,50.0,..,..,..,..,..,..,..,..,..,..,..
