Country Name,Country Code,adolescent_fertility,gdp_per_capita,female_labor_force_participation,female_life_expectancy,maternal_mortality,women_in_parliament,female_secondary_enrollment,female_tertiary_enrollment,female_unemployment,female_secondary_enrollment_norm,female_tertiary_enrollment_norm,female_labor_force_participation_norm,female_life_expectancy_norm,women_in_parliament_norm,female_unemployment_norm,maternal_mortality_norm,adolescent_fertility_norm,education_index,economic_participation_index,health_index,political_representation_index,womens_development_index,Economy,Economy Code,ISO Code,Region,Income Group,Report Year,I. Economy LF Index,1. Safety LF Topic Score,2. Mobility LF Topic Score,3. Work LF Topic Score,4. Pay LF Topic Score,5. Marriage LF Topic Score,6. Parenthood LF Topic Score,7. Childcare LF Topic Score,8. Entrepreneurship LF Topic Score,9. Assets LF Topic Score,10. Pension LF Topic Score,II. Economy SF Index,1. Safety SF Topic Score,2. Mobility SF Topic Score,3. Work SF Topic Score,4. Pay SF Topic Score,5. Marriage SF Topic Score,6. Parenthood SF Topic Score,7. Childcare SF Topic Score,8. Entrepreneurship SF Topic Score,9. Assets SF Topic Score,10. Pension SF Topic Score,III. Economy EP Index,1. Safety EP Topic Score,2. Mobility EP Topic Score,3. Work EP Topic Score,4. Pay EP Topic Score,5. Marriage EP Topic Score,6. Parenthood EP Topic Score,7. Childcare EP Topic Score,8. Entrepreneurship EP Topic Score,9. Assets EP Topic Score,10. Pension EP Topic Score
Argentina,ARG,26.414,14261.8465667948,52.958,79.875,33.0,43.1906614785992,107.980730920017,140.19173357234,6.793,0.7023275766853648,0.8169108767578823,0.617123691015695,0.7536510030887336,0.7051536567934564,0.8345061573259613,0.967741935483871,0.8303820636010066,0.7596192267216235,0.7258149241708282,0.8505916673912037,0.7051536567934564,0.7602948687692779,Argentina,ARG,ARG,Latin America & Caribbean,Upper middle income,2026,80.78,68.75,100.0,100.0,75.0,100,76.5,66.75,50.0,100,70.75,50.3,60.5,75.0,25.0,50.0,50.0,25.0,62.5,67.5,12.5,75.0,66.71,46.88,100,62.5,59.22,100,69.38,39.63,37.5,93.75,58.25
Spain,ESP,4.809,33493.2225409111,52.773,86.7,3.0,44.2857142857143,120.571983337402,106.624557495117,13.88,0.7863704752633504,0.6181554869007899,0.6147553575543436,0.9583170899931028,0.7230320699708457,0.6563960794169389,0.997983870967742,0.9716050593195412,0.7022629810820702,0.6355757184856412,0.9759686734267952,0.7230320699708457,0.759209860741338,Spain,ESP,ESP,High income: OECD,High income,2026,97.93,87.5,100.0,100.0,100.0,100,100.0,100.0,100.0,100,91.75,87.75,100.0,100.0,75.0,100.0,100.0,100.0,50.0,90.0,62.5,100.0,86.32,74.25,100,81.25,87.5,100,100,56.25,75,100,89
Austria,AUT,3.836,56579.504175468,55.812,84.2,6.0,40.9836065573771,99.5390701293945,103.992767333984,5.025,0.6459819791118879,0.6025723327416592,0.6536600353329748,0.8833478273907698,0.669120107059218,0.878939432018095,0.9949596774193548,0.9779651599830048,0.6242771559267736,0.7662997336755348,0.9520908882643764,0.669120107059218,0.7529469712314757,Austria,AUT,AUT,High income: OECD,High income,2026,90.88,31.25,100.0,100.0,100.0,100,100.0,100.0,87.5,100,90.0,76.53,35.25,100.0,75.0,100.0,87.5,75.0,87.5,67.5,37.5,100.0,78.24,23.44,100,83.33,81.25,100,87.5,59.38,81.25,100,66.25
Slovenia,SVN,3.496,32660.4753581346,52.986,84.9,3.0,37.7777777777778,108.57103729248,97.7710037231445,3.714,0.7062676977270451,0.5657325029857634,0.617482141485521,0.9043392209194232,0.6167800453514742,0.9118874088967076,0.997983870967742,0.9801876000915124,0.6360001003564042,0.7646847751911143,0.9608368973262258,0.6167800453514742,0.7445754545563046,Slovenia,SVN,SVN,High income: OECD,High income,2026,94.38,68.75,100.0,100.0,100.0,100,100.0,100.0,75.0,100,100.0,72.85,71.0,75.0,75.0,75.0,100.0,75.0,75.0,70.0,12.5,100.0,87.41,28.94,100,96.88,93.06,100,100,100,58.33,96.88,100
Switzerland,CHE,1.483,100623.549627296,62.375,86.0,5.0,38.5,101.31884765625,78.7506637573242,4.283,0.6578614695090759,0.453110724006678,0.737678265099726,0.9373256964644496,0.6285714285714286,0.8975873335008796,0.995967741935484,0.9933457528515868,0.555486096757877,0.8176327993003027,0.97554639708384,0.6285714285714286,0.744309180428362,Switzerland,CHE,CHE,High income: OECD,High income,2026,83.55,31.25,100.0,66.75,100.0,100,100.0,91.75,62.5,100,83.25,72.8,85.5,75.0,75.0,100.0,62.5,75.0,87.5,30.0,37.5,100.0,69.51,14.06,100,53.19,68.75,90.63,75,75.06,51.56,90.63,76.25
United Kingdom,GBR,8.359,49944.4702124201,57.38,83.208,8.0,34.6153846153846,113.658416748047,93.4978408813477,3.683,0.7402244560731495,0.5404305787312395,0.6737332616432393,0.8536000239901639,0.5651491365777077,0.912666499120382,0.9929435483870968,0.9484001699513024,0.6403275174021945,0.7931998803818107,0.931647914109521,0.5651491365777077,0.7325811121178084,United Kingdom,GBR,GBR,High income: OECD,High income,2026,88.98,68.75,100.0,91.75,100.0,100,87.5,91.75,50.0,100,100.0,80.18,91.75,75.0,75.0,75.0,87.5,100.0,100.0,72.5,50.0,75.0,69.02,50,100,68.81,62.5,100,67.19,45.88,46.88,90.63,58.33
Portugal,PRT,6.985,27634.6183139773,54.719,85.3,15.0,36.0869565217391,121.013473510742,85.4132080078125,6.862,0.7893172920398897,0.492560470297504,0.6396676652072611,0.916334302935796,0.5891748003549241,0.8327720532797185,0.9858870967741936,0.957381442625094,0.6409388811686969,0.7362198592434899,0.9532009474450276,0.5891748003549241,0.7298836220530346,Portugal,PRT,PRT,High income: OECD,High income,2026,91.05,31.25,100.0,100.0,100.0,100,100.0,91.75,87.5,100,100.0,73.5,100.0,75.0,75.0,100.0,100.0,75.0,50.0,72.5,37.5,50.0,71.93,14.06,100,62.5,87.5,96.88,75,45.88,68.75,93.75,75
Moldova,MDA,23.04,6799.58594644576,70.064,75.535,19.0,38.6138613861386,96.9969097488181,81.7232329363875,1.234,0.6290138078806636,0.4707116727639612,0.8361113244744859,0.6235043632110833,0.6304303899777731,0.974214626790651,0.9818548387096774,0.8524365133836651,0.5498627403223124,0.9051629756325684,0.8192652384348085,0.6304303899777731,0.7261803360918656,Moldova,MDA,MDA,Europe & Central Asia,Upper middle income,2026,85.8,56.25,100.0,100.0,100.0,100,100.0,75.0,50.0,100,76.75,65.63,93.75,87.5,75.0,75.0,87.5,50.0,0.0,75.0,50.0,62.5,64.66,20.31,93.75,75,68.75,78.13,75,56.25,40.63,81.25,57.56
Singapore,SGP,2.16,85412.230345235,63.299,85.3,6.0,29.126213592233,102.676070813741,102.127991350812,3.703,0.666920534039878,0.5915307641366973,0.749507130603989,0.916334302935796,0.4755300178323755,0.9121638602663986,0.9949596774193548,0.9889204824002352,0.6292256490882877,0.8308354954351937,0.9667381542517952,0.4755300178323755,0.7255823291519131,Singapore,SGP,SGP,East Asia & Pacific,High income,2026,66.68,50.0,87.5,25.0,75.0,100,62.5,91.75,25.0,100,50.0,70.1,91.75,75.0,91.75,50.0,87.5,75.0,75.0,30.0,37.5,87.5,62.61,45.83,87.5,25,58.33,100,62.5,81.31,25,100,40.63
Belarus,BLR,8.595,7896.75388295584,57.417,79.065,1.0,40.0,97.184372562362,78.4458374741992,2.773,0.6302650669058628,0.4513058099858555,0.6742069283355095,0.7293609620055775,0.6530612244897959,0.9355365669766272,1.0,0.946857535052456,0.5407854384458591,0.8048717476560685,0.892072832352678,0.6530612244897959,0.7226978107361004,Belarus,BLR,BLR,Europe & Central Asia,Upper middle income,2026,70.43,0.0,100.0,75.0,62.5,100,75.0,100.0,25.0,100,66.75,58.75,62.5,75.0,50.0,37.5,37.5,50.0,75.0,62.5,62.5,75.0,65.52,0,100,75,52.69,96.88,68.75,81.25,25,100,55.67
